32874	999
32875	8.97
32876	8.97
32877	8.91
32878	8.83
32881	8.86
32882	8.78
32883	8.71
32884	8.73
32885	8.54
32888	8.46
32889	8.53
32890	8.47
32891	8.48
32892	8.50
32895	8.31
32896	8.31
32897	8.27
32898	8.18
32899	8.15
32902	8.13
32903	8.06
32904	8.19
32905	8.20
32906	8.26
32909	8.30
32910	8.26
32911	8.35
32912	8.34
32913	8.36
32916	8.29
32917	8.30
32918	8.32
32919	8.39
32920	8.35
32923	999
32924	8.24
32925	8.23
32926	8.20
32927	8.15
32930	8.23
32931	8.28
32932	8.32
32933	8.35
32934	8.42
32937	8.39
32938	8.48
32939	8.46
32940	8.54
32941	8.50
32944	8.51
32945	8.46
32946	8.48
32947	8.50
32948	8.58
32951	8.62
32952	8.57
32953	8.54
32954	8.44
32955	8.47
32958	8.49
32959	8.56
32960	8.57
32961	8.54
32962	8.53
32965	8.49
32966	8.60
32967	8.55
32968	8.54
32969	8.52
32972	8.54
32973	8.56
32974	8.56
32975	8.62
32976	999
32979	8.62
32980	8.62
32981	8.53
32982	8.46
32983	8.39
32986	8.30
32987	8.28
32988	8.32
32989	8.33
32990	8.25
32993	8.28
32994	8.32
32995	8.37
32996	8.40
32997	8.46
33000	8.52
33001	8.55
33002	8.56
33003	8.60
33004	8.77
33007	8.84
33008	8.84
33009	8.83
33010	8.85
33011	8.86
33014	8.95
33015	8.96
33016	8.98
33017	8.98
33018	8.90
33021	999
33022	9.02
33023	9.03
33024	9.04
33025	9.09
33028	9.19
33029	9.18
33030	9.15
33031	9.11
33032	9.01
33035	9.08
33036	9.18
33037	9.16
33038	9.11
33039	9.11
33042	8.97
33043	9.00
33044	9.01
33045	9.03
33046	8.94
33049	8.87
33050	8.86
33051	8.92
33052	8.98
33053	9.00
33056	9.03
33057	9.04
33058	999
33059	8.95
33060	9.01
33063	9.03
33064	8.98
33065	9.07
33066	9.17
33067	9.21
33070	9.25
33071	9.21
33072	9.13
33073	9.15
33074	9.07
33077	8.91
33078	8.91
33079	8.94
33080	8.93
33081	8.87
33084	8.89
33085	8.91
33086	8.89
33087	8.79
33088	8.63
33091	8.35
33092	8.37
33093	8.46
33094	8.52
33095	8.42
33098	8.48
33099	8.50
33100	8.52
33101	8.35
33102	8.22
33105	8.22
33106	8.06
33107	7.94
33108	7.68
33109	7.79
33112	8.03
33113	8.04
33114	8.10
33115	7.99
33116	8.07
33119	999
33120	8.08
33121	8.11
33122	8.03
33123	8.09
33126	8.07
33127	8.05
33128	8.08
33129	7.99
33130	7.95
33133	7.97
33134	7.98
33135	7.93
33136	7.81
33137	7.80
33140	7.63
33141	7.71
33142	7.63
33143	7.52
33144	7.63
33147	7.83
33148	7.86
33149	7.77
33150	7.78
33151	7.75
33154	7.79
33155	7.60
33156	7.48
33157	7.35
33158	7.44
33161	7.51
33162	7.40
33163	7.40
33164	7.57
33165	7.70
33168	7.77
33169	7.73
33170	7.73
33171	7.68
33172	7.56
33175	7.49
33176	7.52
33177	7.53
33178	7.59
33179	7.71
33182	7.78
33183	7.73
33184	7.61
33185	7.64
33186	7.78
33189	7.93
33190	7.91
33191	7.97
33192	7.90
33193	7.90
33196	7.94
33197	7.86
33198	7.87
33199	999
33200	7.85
33203	7.88
33204	7.93
33205	7.94
33206	7.91
33207	8.04
33210	8.10
33211	8.16
33212	8.25
33213	8.24
33214	8.21
33217	8.23
33218	8.19
33219	8.26
33220	8.26
